vendor_name	invoice_pattern	charge_type	sample_count	priority
Republic Services	PICKUP SERVICE /	Empty & Return	1104	1
Republic Services	PICKUP SERVICE /	Empty & Return	846	1
Republic Services	PICKUP SERVICE /	Empty & Return	600	1
Republic Services	PICKUP SERVICE /	Empty & Return	568	1
Republic Services	PICKUP SERVICE /	Empty & Return	552	1
Republic Services	PICKUP SERVICE /	Empty & Return	480	1
Republic Services	PICKUP SERVICE	Empty & Return	442	1
Republic Services	PICKUP SERVICE /	Empty & Return	440	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK C	Empty & Return	436	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	414	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	414	1
Republic Services	PICKUP SERVICE /	Empty & Return	414	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	414	1
Republic Services	PICKUP SERVICE /	Empty & Return	414	1
Republic Services	PICKUP SERVICE /	Empty & Return	396	1
Republic Services	PICKUP SERVICE /	Empty & Return	368	1
Republic Services	PICKUP SERVICE /	Empty & Return	368	1
Republic Services	PICKUP SERVICE /	Empty & Return	360	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	342	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	342	1
Republic Services	/	Empty & Return	340	1
Republic Services	PICKUP SERVICE /	Empty & Return	336	1
Republic Services	PICKUP SERVICE /	Empty & Return	336	1
Republic Services	PICKUP SERVICE /	Empty & Return	320	1
Republic Services	PICKUP SERVICE /	Empty & Return	304	1
Republic Services	PICKUP SERVICE /	Empty & Return	292	1
Republic Services	PICKUP SERVICE /	Empty & Return	292	1
Republic Services	PICKUP SERVICE /	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	276	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	272	1
Republic Services	PICKUP SERVICE /	Empty & Return	272	1
Republic Services	PICKUP SERVICE /	Empty & Return	260	1
Republic Services	PICKUP SERVICE /	Empty & Return	252	1
Republic Services	//	Empty & Return	240	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	240	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	240	1
Republic Services	PICKUP SERVICE /	Empty & Return	240	1
Republic Services	PICKUP SERVICE /	Empty & Return	240	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	240	1
Republic Services	PICKUP SERVICE /	Empty & Return	240	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	240	1
Republic Services	PICKUP SERVICE /	Empty & Return	232	1
Republic Services	PICKUP SERVICE /	Empty & Return	232	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	228	1
Republic Services	PICKUP SERVICE /	Empty & Return	228	1
Republic Services	PICKUP SERVICE /	Empty & Return	224	1
Republic Services	PICKUP SERVICE /	Empty & Return	224	1
Republic Services	PICKUP SERVICE /	Empty & Return	216	1
Republic Services	PICKUP SERVICE /\N WASTE CONTAINER CU YD	Empty & Return	216	1
Republic Services	PICKUP SERVICE /	Empty & Return	208	1
Republic Services	PICKUP SERVICE /	Empty & Return	208	1
Republic Services	PICKUP SERVICE /	Empty & Return	204	1
Republic Services	PICKUP SERVICE /	Empty & Return	204	1
Republic Services	PICKUP SERVICE /	Empty & Return	198	1
Republic Services	PICKUP SERVICE /	Empty & Return	196	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	192	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	192	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	192	1
Republic Services	PICKUP SERVICE /	Empty & Return	188	1
Republic Services	PICKUP SERVICE /	Empty & Return	181	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	168	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	168	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	168	1
